title,info,rating,url
Реальная любовь,"Love Actually, 2003, 2 ч 9 мин",7.3,https://www.kinopoisk.ru/film/6144/
Мстители: Война бесконечности,"Avengers: Infinity War, 2018, 2 ч 29 мин",7.3,https://www.kinopoisk.ru/film/843649/
Загадочная история Бенджамина Баттона,"The Curious Case of Benjamin Button, 2008, 2 ч 46 мин",7.3,https://www.kinopoisk.ru/film/81555/
Исчезнувшая,"Gone Girl, 2014, 2 ч 29 мин",7.3,https://www.kinopoisk.ru/film/692861/
Назад в будущее 2,"Back to the Future Part II, 1989, 1 ч 48 мин",7.3,https://www.kinopoisk.ru/film/5502/
Приключения Реми,"Rémi sans famille, 2018, 1 ч 45 мин",7.3,https://www.kinopoisk.ru/film/1108571/
Не может быть!,"1975, 1 ч 32 мин",7.3,https://www.kinopoisk.ru/film/46368/
Славные парни,"Goodfellas, 1990, 2 ч 20 мин",7.3,https://www.kinopoisk.ru/film/350/
Дневник памяти,"The Notebook, 2004, 2 ч 4 мин",7.3,https://www.kinopoisk.ru/film/3561/
Небо,"2021, 2 ч 6 мин",7.3,https://www.kinopoisk.ru/film/1421591/
Принцесса Мононоке,"Mononoke-hime, 1997, 2 ч 13 мин",7.3,https://www.kinopoisk.ru/film/441/
Иллюзионист,"The Illusionist, 2005, 1 ч 50 мин",7.3,https://www.kinopoisk.ru/film/102198/
Олдбой,"Oldeuboi, 2003, 2 ч",7.3,https://www.kinopoisk.ru/film/75871/
Вам и не снилось...,"1980, 1 ч 26 мин",7.3,https://www.kinopoisk.ru/film/45660/
Граф Монте-Кристо,"Le Comte de Monte-Cristo, 2024, 2 ч 58 мин",7.3,https://www.kinopoisk.ru/film/5452393/
Особенности национальной охоты,"1995, 1 ч 33 мин",7.3,https://www.kinopoisk.ru/film/7653/
Игра в имитацию,"The Imitation Game, 2014, 1 ч 54 мин",7.3,https://www.kinopoisk.ru/film/635772/
Мотылёк,"Papillon, 2017, 2 ч 13 мин",7.3,https://www.kinopoisk.ru/film/939411/
Апокалипсис сегодня,"Apocalypse Now, 1979, 3 ч 14 мин",7.3,https://www.kinopoisk.ru/film/354/
12,"2007, 2 ч 33 мин",7.3,https://www.kinopoisk.ru/film/222809/
Счастье в конверте,"2019, 1 ч 38 мин",7.3,https://www.kinopoisk.ru/film/1234939/
Игра,"The Game, 1997, 2 ч 9 мин",7.3,https://www.kinopoisk.ru/film/12198/
Головоломка,"Inside Out, 2015, 1 ч 35 мин",7.3,https://www.kinopoisk.ru/film/645118/
Дюна: Часть вторая,"Dune: Part Two, 2024, 2 ч 46 мин",7.3,https://www.kinopoisk.ru/film/4540126/
Вечное сияние чистого разума,"Eternal Sunshine of the Spotless Mind, 2004, 1 ч 48 мин",7.3,https://www.kinopoisk.ru/film/5492/
